node_id,hour,precomputed_risk
1000179,0,5.343
1000180,0,0.557
1000181,0,1.457
1000182,0,4.838
1000183,0,6.336
1000184,0,5.869
1000185,0,6.44
1000186,0,0.34
1000187,0,1.032
1000188,0,3.349
1000189,0,3.979
1000190,0,4.92
1000191,0,2.247
1000192,0,1.95
1000193,0,0.471
1000194,0,5.35
1000195,0,1.96
1000196,0,2.215
1000197,0,2.041
1000198,0,4.097
1000199,0,0.126
1000200,0,1.381
1000201,0,4.031
1000202,0,4.506
1000203,0,2.997
1000204,0,2.432
1000205,0,2.012
1000206,0,2.003
1000207,0,2.66
1000208,0,1.471
1000209,0,0.85
1000210,0,0.624
1000211,0,2.764
1000212,0,2.431
1000213,0,4.42
1000214,0,2.55
1000215,0,0.608
1000216,0,0.82
1000217,0,6.849
1000218,0,1.674
1000219,0,2.876
1000220,0,4.447
1000221,0,1.48
1000222,0,1.656
1000223,0,0.071
1000224,0,1.675
1000225,0,2.195
1000226,0,0.205
1000227,0,1.105
1000228,0,4.792
1000229,0,4.823
1000230,0,5.14
1000231,0,5.576
1000232,0,3.784
1000233,0,2.157
1000234,0,0.24
1000235,0,3.335
1000236,0,3.822
1000237,0,2.272
1000238,0,2.373
1000239,0,1.835
1000240,0,4.046
1000241,0,1.451
1000242,0,4.809
1000243,0,0.761
1000244,0,3.653
1000245,0,3.212
1000246,0,1.364
1000247,0,5.64
1000248,0,3.789
1000249,0,4.318
1000250,0,0.861
1000251,0,5.209
1000252,0,1.286
1000253,0,2.069
1000254,0,0.361
1000255,0,3.004
1000256,0,3.319
1000257,0,3.089
1000258,0,1.299
1000259,0,0.878
1000260,0,1.617
1000261,0,2.966
1000262,0,5.85
1000263,0,2.896
1000264,0,4.987
1000265,0,2.821
1000266,0,3.235
1000267,0,4.7
1000268,0,4.638
1000269,0,5.544
1000270,0,2.62
1000271,0,1.748
1000272,0,4.117
1000273,0,4.923
1000274,0,1.766
1000275,0,2.332
1000276,0,4.826
1000277,0,5.979
1000278,0,0.031
1000279,0,1.462
1000280,0,4.33
1000281,0,0.039
1000282,0,0.08
1000283,0,3.11
1000284,0,1.468
1000285,0,2.899
1000286,0,1.476
1000287,0,1.351
1000288,0,0.903
1000289,0,1.714
1000290,0,4.207
1000291,0,1.378
1000292,0,3.952
1000293,0,0.003
1000294,0,4.452
1000295,0,4.353
1000296,0,0.517
1000297,0,2.717
1000298,0,2.874
1000299,0,3.166
1000300,0,0.038
1000301,0,2.02
1000302,0,5.765
1000303,0,0.327
1000304,0,2.121
1000305,0,2.557
1000306,0,4.884
1000307,0,5.756
1000308,0,5.837
1000309,0,2.555
1000310,0,3.862
1000311,0,5.952
1000312,0,0.834
1000313,0,0.203
1000314,0,0.796
1000315,0,5.168
1000316,0,4.381
1000317,0,4.488
1000318,0,1.574
1000319,0,3.704
1000320,0,3.319
1000321,0,0.184
1000322,0,2.252
1000323,0,1.893
1000324,0,3.153
1000325,0,2.203
1000326,0,0.402
1000327,0,3.986
1000328,0,4.961
1000329,0,1.034
1000330,0,6.857
1000331,0,1.63
1000332,0,3.25
1000333,0,1.146
1000334,0,0.833
1000335,0,1.263
1000336,0,5.494
1000337,0,3.256
1000338,0,2.929
1000339,0,5.222
1000340,0,3.447
1000341,0,3.656
1000342,0,2.365
1000343,0,6.708
1000344,0,1.445
1000345,0,2.057
1000346,0,1.145
1000347,0,0.453
1000348,0,1.446
1000349,0,2.377
1000350,0,0.295
1000351,0,3.244
1000352,0,2.817
1000353,0,6.869
1000354,0,6.419
1000355,0,2.974
1000356,0,4.504
1000357,0,0.653
1000358,0,5.635
1000359,0,1.233
1000360,0,3.299
1000361,0,0.639
1000362,0,5.099
1000363,0,4.55
1000364,0,3.285
1000365,0,0.914
1000366,0,4.435
1000367,0,2.302
1000368,0,5.714
1000369,0,1.196
1000370,0,6.648
1000371,0,3.196
1000372,0,4.676
1000373,0,1.304
1000374,0,6.811
1000375,0,0.179
1000376,0,4.712
1000377,0,1.514
1000378,0,3.68
1000379,0,2.982
1000380,0,3.095
1000381,0,4.958
1000382,0,4.851
1000383,0,2.698
1000384,0,2.138
1000385,0,0.416
1000386,0,4.451
1000387,0,0.229
1000388,0,0.298
1000389,0,1.165
1000390,0,3.398
1000391,0,1.49
1000392,0,4.959
1000393,0,0.492
1000394,0,3.147
1000395,0,3.719
1000396,0,0.374
1000397,0,2.545
1000398,0,1.502
1000399,0,0.243
1000400,0,0.854
1000401,0,1.248
1000402,0,1.663
1000403,0,0.994
1000404,0,3.601
1000405,0,4.363
1000406,0,6.087
1000407,0,5.255
1000408,0,2.229
1000409,0,2.412
1000410,0,0.603
1000411,0,2.099
1000412,0,0.818
1000413,0,2.26
1000414,0,5.406
1000415,0,3.068
1000416,0,0.604
1000417,0,0.307
1000418,0,3.682
1000419,0,1.343
1000420,0,1.493
1000421,0,4.176
1000422,0,6.075
1000423,0,2.296
1000424,0,4.65
1000425,0,4.03
1000426,0,1.383
1000427,0,4.573
1000428,0,5.03
1000429,0,5.978
1000430,0,5.747
1000431,0,3.813
1000432,0,0.996
1000433,0,0.887
1000434,0,3.99
1000435,0,5.438
1000436,0,2.284
1000437,0,6.427
1000438,0,5.383
1000439,0,2.065
1000440,0,5.426
1000441,0,3.833
1000442,0,5.005
1000443,0,2.551
1000444,0,3.473
1000445,0,1.28
1000446,0,1.031
1000447,0,0.747
1000448,0,5.683
1000449,0,2.534
1000450,0,4.387
1000451,0,4.465
1000452,0,1.364
1000453,0,6.1
1000454,0,3.311
1000455,0,5.976
1000456,0,0.784
1000457,0,2.482
1000458,0,2.895
1000459,0,5.242
1000460,0,6.07
1000461,0,3.933
1000462,0,1.015
1000463,0,4.971
1000464,0,5.241
1000465,0,4.995
1000466,0,3.404
1000467,0,0.729
1000468,0,1.975
1000469,0,2.06
1000470,0,3.158
1000471,0,3.011
1000472,0,1.455
1000473,0,4.642
1000474,0,5.356
1000475,0,1.734
1000476,0,4.18
1000477,0,5.558
1000478,0,2.914
1000479,0,2.613
1000480,0,4.981
1000481,0,0.658
1000482,0,4.052
1000483,0,3.207
1000484,0,4.256
1000485,0,2.08
1000486,0,3.791
1000487,0,1.508
1000488,0,3.804
1000489,0,4.443
1000490,0,0.013
1000491,0,1.854
1000492,0,3.603
1000493,0,5.144
1000494,0,2.375
1000495,0,1.752
1000496,0,0.07
1000497,0,3.277
1000498,0,0.539
1000499,0,3.619
1000500,0,0.222
1000501,0,4.145
1000502,0,3.511
1000503,0,0.978
1000504,0,4.116
1000505,0,1.072
1000506,0,1.592
1000507,0,0.985
1000508,0,2.898
1000509,0,6.342
1000510,0,0.961
1000511,0,1.29
1000512,0,2.915
1000513,0,2.468
1000514,0,1.739
1000515,0,4.294
1000516,0,2.542
1000517,0,3.088
1000518,0,3.923
1000519,0,2.622
1000520,0,2.065
1000521,0,4.442
1000522,0,4.019
1000523,0,2.643
1000524,0,4.151
1000525,0,0.791
1000526,0,4.975
1000527,0,1.344
1000528,0,2.025
1000529,0,0.036
1000530,0,0.793
1000531,0,1.292
1000532,0,3.618
1000533,0,1.928
1000534,0,1.28
1000535,0,3.787
1000536,0,6.034
1000537,0,0.689
1000538,0,1.901
1000539,0,2.804
1000540,0,1.96
1000541,0,1.854
1000542,0,1.548
1000543,0,2.293
1000544,0,3.658
1000545,0,0.301
1000546,0,5.943
1000547,0,2.561
1000548,0,3.072
1000549,0,0.81
1000550,0,6.707
1000551,0,1.296
1000552,0,5.897
1000553,0,1.347
1000554,0,4.095
1000555,0,1.88
1000556,0,5.3
1000557,0,0.023
1000558,0,3.162
1000559,0,1.226
1000560,0,1.109
1000561,0,3.431
1000562,0,0.826
1000563,0,2.802
1000564,0,0.904
1000565,0,4.699
1000566,0,1.371
1000567,0,1.355
1000568,0,6.938
1000569,0,3.297
1000570,0,0.776
1000571,0,2.659
1000572,0,0.19
1000573,0,2.042
1000574,0,5.526
1000575,0,1.181
1000576,0,4.022
1000577,0,2.406
1000578,0,1.773
1000579,0,4.147
1000580,0,0.964
1000581,0,2.356
1000582,0,4.545
1000583,0,3.999
1000584,0,4.021
1000585,0,6.32
1000586,0,4.122
1000587,0,4.157
1000588,0,5.314
1000589,0,6.129
1000590,0,2.122
1000591,0,4.996
1000592,0,3.522
1000593,0,2.21
1000594,0,0.967
1000595,0,5.679
1000596,0,5.807
1000597,0,2.002
1000598,0,2.331
1000599,0,0.774
1000600,0,4.851
1000601,0,1.062
1000602,0,3.818
1000603,0,1.254
1000604,0,4.386
1000605,0,1.891
1000606,0,3.068
1000607,0,2.732
1000608,0,0.892
1000609,0,2.232
1000610,0,0.918
1000611,0,3.094
1000612,0,5.467
1000613,0,0.808
1000614,0,3.936
1000615,0,2.687
1000616,0,3.476
1000617,0,2.295
1000618,0,3.964
1000619,0,3.805
1000620,0,2.73
1000621,0,3.901
1000622,0,3.594
1000623,0,3.928
1000624,0,4.078
1000625,0,2.4
1000626,0,6.202
1000627,0,3.961
1000628,0,7.243
1000629,0,3.766
1000630,0,5.336
1000631,0,1.904
1000632,0,0.316
1000633,0,1.075
1000634,0,1.797
1000635,0,2.126
1000636,0,1.63
1000637,0,2.974
1000638,0,4.074
1000639,0,2.926
1000640,0,2.954
1000641,0,5.434
1000642,0,6.147
1000643,0,4.569
1000644,0,2.027
1000645,0,1.716
1000646,0,5.445
1000647,0,2.603
1000648,0,2.545
1000649,0,1.379
1000650,0,0.706
1000651,0,6.489
1000652,0,0.59
1000653,0,2.764
1000654,0,5.012
1000655,0,2.739
1000656,0,5.467
1000657,0,1.658
1000658,0,2.844
1000659,0,5.791
1000660,0,0.893
1000661,0,2.87
1000662,0,4.151
1000663,0,0.578
1000664,0,4.383
1000665,0,4.684
1000666,0,4.292
1000667,0,1.083
1000668,0,5.549
1000669,0,2.316
1000670,0,1.175
1000671,0,1.253
1000672,0,3.595
1000673,0,1.926
1000674,0,2.39
1000675,0,5.776
1000676,0,3.583
1000677,0,4.681
1000678,0,2.8
1000679,0,0.925
1000680,0,4.285
1000681,0,4.312
1000682,0,2.139
1000683,0,0.879
1000684,0,2.271
1000685,0,4.871
1000686,0,4.955
1000687,0,0.233
1000688,0,2.443
1000689,0,1.759
1000690,0,1.932
1000691,0,1.321
1000692,0,5.91
1000693,0,3.672
1000694,0,3.354
1000695,0,3.984
1000696,0,1.493
1000697,0,3.137
1000698,0,1.29
1000699,0,2.215
1000700,0,2.744
1000701,0,2.698
1000702,0,3.229
1000703,0,5.059
1000704,0,4.82
1000705,0,3.876
1000706,0,1.147
1000707,0,2.709
1000708,0,5.369
1000709,0,0.056
1000710,0,0.101
1000711,0,0.424
1000712,0,4.373
1000713,0,3.096
1000714,0,2.198
1000715,0,4.306
1000716,0,0.361
1000717,0,4.309
1000718,0,5.995
1000719,0,4.17
1000720,0,3.027
1000721,0,3.685
1000722,0,0.909
1000723,0,4.902
1000724,0,2.925
1000725,0,1.904
1000726,0,1.976
1000727,0,0.471
1000728,0,2.335
1000729,0,6.189
1000730,0,0.613
1000731,0,3.626
1000732,0,0.291
1000733,0,1.395
1000734,0,2.053
1000735,0,4.404
1000736,0,1.906
1000737,0,0.477
1000738,0,1.919
1000739,0,4.308
1000740,0,1.218
1000741,0,3.843
1000742,0,5.236
1000743,0,5.037
1000744,0,3.734
1000745,0,0.108
1000746,0,3.139
1000747,0,1.664
1000748,0,1.276
1000749,0,1.776
1000750,0,0.294
1000751,0,6.722
1000752,0,2.563
1000753,0,2.906
1000754,0,3.683
1000755,0,4.621
1000756,0,3.756
1000757,0,2.13
1000758,0,1.698
1000759,0,0.855
1000760,0,5.641
1000761,0,3.34
1000762,0,1.17
1000763,0,4.52
1000764,0,2.402
1000765,0,0.365
1000766,0,5.574
1000767,0,2.498
1000768,0,4.278
1000769,0,1.596
1000770,0,2.904
1000771,0,4.128
1000772,0,0.995
1000773,0,1.002
1000774,0,2.591
1000775,0,5.084
1000776,0,4.823
1000777,0,0.786
1000778,0,1.671
1000779,0,1.299
1000780,0,3.377
1000781,0,4.481
1000782,0,0.588
1000783,0,5.603
1000784,0,5.065
1000785,0,1.146
1000786,0,0.026
1000787,0,0.034
1000788,0,2.017
1000789,0,0.423
1000790,0,4.908
1000791,0,2.56
1000792,0,4.028
1000793,0,2.792
1000794,0,1.993
1000795,0,6.113
1000796,0,0.81
1000797,0,2.363
1000798,0,2.884
1000799,0,0.296
1000800,0,2.99
1000801,0,1.705
1000802,0,2.721
1000803,0,2.876
1000804,0,0.447
1000805,0,4.84
1000806,0,0.267
1000807,0,1.015
1000808,0,3.731
1000809,0,1.639
1000810,0,3.333
1000811,0,2.999
1000812,0,3.648
1000813,0,5.545
1000814,0,3.623
1000815,0,0.582
1000816,0,0.91
1000817,0,5.029
1000818,0,4.492
1000819,0,1.227
1000820,0,0.914
1000821,0,4.092
1000822,0,5.011
1000823,0,2.914
1000824,0,2.484
1000825,0,4.575
1000826,0,0.769
1000827,0,1.32
1000828,0,2.595
1000829,0,0.031
1000830,0,4.474
1000831,0,1.871
1000832,0,4.33
1000833,0,0.251
1000834,0,3.912
1000835,0,5.871
1000836,0,6.239
1000837,0,3.906
1000838,0,0.973
1000839,0,1.384
1000840,0,3.061
1000841,0,3.061
1000842,0,1.124
1000843,0,1.389
1000844,0,2.391
1000845,0,0.81
1000846,0,5.282
1000847,0,6.977
1000848,0,3.355
1000849,0,2.533
1000850,0,6.852
1000851,0,4.378
1000852,0,1.612
1000853,0,3.903
1000854,0,7.257
1000855,0,1.903
1000856,0,3.07
1000857,0,3.462
1000858,0,4.926
1000859,0,6.101
1000860,0,2.595
1000861,0,0.78
1000862,0,0.228
1000863,0,2.663
1000864,0,2.35
1000865,0,0.087
1000866,0,0.667
1000867,0,2.096
1000868,0,4.085
1000869,0,0.431
1000870,0,6.148
1000871,0,4.606
1000872,0,3.808
1000873,0,1.62
1000874,0,2.365
1000875,0,2.059
1000876,0,4.547
1000877,0,0.975
1000878,0,0.683
1000879,0,2.266
1000880,0,5.819
1000881,0,1.498
1000882,0,0.982
1000883,0,5.741
1000884,0,0.185
1000885,0,0.224
1000886,0,0.353
1000887,0,3.04
1000888,0,3.18
1000889,0,6.005
1000890,0,0.698
1000891,0,6.443
1000892,0,5.156
1000893,0,0.032
1000894,0,0.86
1000895,0,1.531
1000896,0,1.682
1000897,0,4.053
1000898,0,4.56
1000899,0,4.149
1000900,0,2.823
1000901,0,1.427
1000902,0,1.909
1000903,0,3.721
1000904,0,3.612
1000905,0,2.032
1000906,0,4.353
1000907,0,4.138
1000908,0,2.168
1000909,0,3.902
1000910,0,0.032
1000911,0,5.282
1000912,0,4.939
1000913,0,1.471
1000914,0,3.274
1000915,0,4.452
1000916,0,2.391
1000917,0,3.469
1000918,0,0.656
1000919,0,3.793
1000920,0,3.407
1000921,0,1.119
1000922,0,5.58
1000923,0,0.466
1000924,0,1.169
1000925,0,4.071
1000926,0,4.007
1000927,0,1.077
1000928,0,6.092
1000929,0,2.176
1000930,0,4.086
1000931,0,0.009
1000932,0,3.867
1000933,0,4.319
1000934,0,4.054
1000935,0,3.39
1000936,0,1.519
1000937,0,1.692
1000938,0,2.985
1000939,0,4.75
1000940,0,0.02
1000941,0,1.938
1000942,0,1.928
1000943,0,2.093
1000944,0,4.788
1000945,0,4.305
1000946,0,2.937
1000947,0,2.635
1000948,0,1.555
1000949,0,0.423
1000950,0,4.657
1000951,0,0.432
1000952,0,4.246
1000953,0,1.615
1000954,0,3.512
1000955,0,2.467
1000956,0,2.556
1000957,0,0.336
1000958,0,2.578
1000959,0,3.965
1000960,0,5.659
1000961,0,4.593
1000962,0,3.861
1000963,0,1.373
1000964,0,3.783
1000965,0,2.251
1000966,0,0.748
1000967,0,1.114
1000968,0,0.287
1000969,0,4.239
1000970,0,2.185
1000971,0,4.467
1000972,0,2.464
1000973,0,2.653
1000974,0,1.099
1000975,0,1.014
1000976,0,6.628
1000977,0,5.166
1000978,0,1.283
1000979,0,0.316
1000980,0,3.322
1000981,0,4.513
1000982,0,5.446
1000983,0,0.543
1000984,0,3.914
1000985,0,1.584
1000986,0,7.286
1000987,0,1.171
1000988,0,2.91
1000989,0,3.946
1000990,0,4.859
1000991,0,5.698
1000992,0,3.109
1000993,0,0.677
1000994,0,1.344
1000995,0,3.572
1000996,0,2.894
1000997,0,6.231
1000998,0,5.397
1000999,0,2.884
1001000,0,2.237
1001001,0,3.29
1001002,0,4.569
1001003,0,2.765
1001004,0,1.667
1001005,0,2.27
1001006,0,1.581
1001007,0,3.782
1001008,0,3.294
1001009,0,0.132
1001010,0,4.68
1001011,0,2.182
1001012,0,0.212
1001013,0,1.62
1001014,0,1.347
1001015,0,5.762
1001016,0,2.556
1001017,0,3.958
1001018,0,5.717
1001019,0,4.659
1001020,0,2.506
1001021,0,4.233
1001022,0,4.482
1001023,0,6.006
1001024,0,6.222
1001025,0,0.642
1001026,0,0.847
1001027,0,0.188
1001028,0,1.816
1001029,0,2.208
1001030,0,2.941
1001031,0,0.696
1001032,0,2.739
1001033,0,4.132
1001034,0,2.778
1001035,0,6.081
1001036,0,1.588
1001037,0,3.876
1001038,0,6.958
1001039,0,3.984
1001040,0,4.976
1001041,0,2.256
1001042,0,3.472
1001043,0,1.082
1001044,0,3.728
1001045,0,5.582
1001046,0,2.841
1001047,0,2.851
1001048,0,3.761
1001049,0,5.624
1001050,0,3.331
1001051,0,4.047
1001052,0,2.848
1001053,0,3.286
1001054,0,4.472
1001055,0,0.335
1001056,0,4.157
1001057,0,2.012
1001058,0,5.093
1001059,0,2.105
1001060,0,0.519
1001061,0,2.541
1001062,0,3.592
1001063,0,2.573
1001064,0,1.044
1001065,0,0.405
1001066,0,2.543
1001067,0,0.356
1001068,0,4.549
1001069,0,0.489
1001070,0,0.172
1001071,0,5.399
1001072,0,3.06
1001073,0,3.702
1001074,0,5.257
1001075,0,2.587
1001076,0,6.075
1001077,0,0.39
1001078,0,5.717
1001079,0,0.764
1001080,0,0.032
1001081,0,2.455
1001082,0,4.484
1001083,0,2.065
1001084,0,3.789
1001085,0,5.359
1001086,0,0.371
1001087,0,5.987
1001088,0,5.965
1001089,0,5.724
1001090,0,4.029
1001091,0,4.037
1001092,0,3.593
1001093,0,5.191
1001094,0,0.078
1001095,0,0.726
1001096,0,0.064
1001097,0,6.528
1001098,0,5.375
1001099,0,0.342
1001100,0,6.227
1001101,0,0.221
1001102,0,6.417
1001103,0,0.399
1001104,0,1.958
1001105,0,3.735
1001106,0,4.487
1001107,0,3.359
1001108,0,0.439
1001109,0,2.567
1001110,0,4.36
1001111,0,1.854
1001112,0,1.463
1001113,0,0.854
1001114,0,5.642
1001115,0,3.973
1001116,0,4.381
1001117,0,0.504
1001118,0,1.445
1001119,0,1.903
1001120,0,4.861
1001121,0,0.786
1001122,0,3.489
1001123,0,1.036
1001124,0,3.623
1001125,0,3.135
1001126,0,2.186
1001127,0,1.219
1001128,0,2.655
1001129,0,1.0
1001130,0,0.653
1001131,0,4.413
1001132,0,2.651
1001133,0,2.228
1001134,0,3.338
1001135,0,5.13
1001136,0,2.669
1001137,0,1.284
1001138,0,2.559
1001139,0,5.371
1001140,0,0.695
1001141,0,1.626
1001142,0,1.35
1001143,0,0.376
1001144,0,2.282
1001145,0,0.312
1001146,0,6.007
1001147,0,1.118
1001148,0,1.978
1001149,0,1.917
1001150,0,5.288
1001151,0,1.311
1001152,0,2.207
1001153,0,0.115
1001154,0,6.594
1001155,0,1.024
1001156,0,5.305
1001157,0,4.383
1001158,0,4.763
1001159,0,1.095
1001160,0,2.134
1001161,0,2.095
1001162,0,7.082
1001163,0,0.767
1001164,0,1.543
1001165,0,1.533
1001166,0,1.95
1001167,0,2.104
1001168,0,3.723
1001169,0,2.098
1001170,0,5.44
1001171,0,0.033
1001172,0,0.897
1001173,0,6.228
1001174,0,2.227
1001175,0,6.179
1001176,0,0.103
1001177,0,5.633
1001178,0,0.759
1001179,0,4.266
1001180,0,4.133
1001181,0,0.526
1001182,0,4.788
1001183,0,1.898
1001184,0,2.012
1001185,0,5.634
1001186,0,5.004
1001187,0,3.355
1001188,0,0.038
1001189,0,0.424
1001190,0,1.658
1001191,0,0.659
1001192,0,6.554
1001193,0,1.425
1001194,0,6.879
1001195,0,1.74
1001196,0,4.926
1001197,0,3.28
1001198,0,1.269
1001199,0,2.585
1001200,0,2.592
1001201,0,2.649
1001202,0,0.518
1001203,0,3.018
1001204,0,2.123
1001205,0,3.404
1001206,0,2.026
1001207,0,5.331
1001208,0,1.228
1001209,0,2.212
1001210,0,0.856
1001211,0,3.604
1001212,0,1.983
1001213,0,0.362
1001214,0,3.044
1001215,0,4.364
1001216,0,6.63
1001217,0,4.234
1001218,0,3.803
1001219,0,1.118
1001220,0,4.282
1001221,0,1.41
1001222,0,4.775
1001223,0,2.747
1001224,0,1.185
1001225,0,0.994
1001226,0,2.78
1001227,0,5.421
1001228,0,0.302
1001229,0,4.113
1001230,0,5.334
1001231,0,4.915
1001232,0,0.975
1001233,0,5.836
1001234,0,0.302
1001235,0,4.235
1001236,0,3.947
1001237,0,3.917
1001238,0,6.277
1001239,0,6.876
1001240,0,1.183
1001241,0,0.289
1001242,0,0.188
1001243,0,1.158
1001244,0,1.454
1001245,0,0.254
1001246,0,4.728
1001247,0,5.498
1001248,0,3.492
1001249,0,3.885
1001250,0,1.549
1001251,0,6.036
1001252,0,0.868
1001253,0,3.434
1001254,0,3.838
1001255,0,0.007
1001256,0,6.52
1001257,0,2.485
1001258,0,3.099
1001259,0,1.67
1001260,0,7.177
1001261,0,1.376
1001262,0,6.46
1001263,0,4.869
1001264,0,3.032
1001265,0,4.234
1001266,0,1.677
1001267,0,0.077
1001268,0,0.781
1001269,0,1.861
1001270,0,4.883
1001271,0,0.315
1001272,0,2.881
1001273,0,0.752
1001274,0,5.394
1001275,0,3.77
1001276,0,0.727
1001277,0,1.53
1001278,0,1.952
1001279,0,1.305
1001280,0,3.307
1001281,0,3.607
1001282,0,2.098
1001283,0,3.934
1001284,0,5.633
1001285,0,2.974
1001286,0,0.91
1001287,0,0.672
1001288,0,0.277
1001289,0,5.805
1001290,0,3.476
1001291,0,3.966
1001292,0,3.511
1001293,0,2.685
1001294,0,1.46
1001295,0,3.158
1001296,0,0.535
1001297,0,3.959
1001298,0,2.163
1001299,0,1.429
1001300,0,1.535
1001301,0,0.653
1001302,0,0.701
1001303,0,3.43
1001304,0,3.454
1001305,0,2.646
1001306,0,0.475
1001307,0,6.2
1001308,0,2.747
1001309,0,0.575
1001310,0,3.702
1001311,0,3.985
1001312,0,2.819
1001313,0,2.23
1001314,0,3.934
1001315,0,5.222
1001316,0,3.275
1001317,0,4.429
1001318,0,4.631
1001319,0,0.392
1001320,0,4.511
1001321,0,2.472
1001322,0,3.425
1001323,0,1.133
1001324,0,1.22
1001325,0,4.109
1001326,0,6.022
1001327,0,6.618
1001328,0,0.594
1001329,0,5.464
1001330,0,2.948
1001331,0,1.714
1001332,0,1.881
1001333,0,3.874
1001334,0,0.372
1001335,0,1.195
1001336,0,0.33
1001337,0,5.141
1001338,0,4.378
1001339,0,3.909
1001340,0,7.021
1001341,0,1.119
1001342,0,6.542
1001343,0,4.977
1001344,0,1.453
1001345,0,2.114
1001346,0,6.432
1001347,0,2.111
1001348,0,3.716
1001349,0,2.765
1001350,0,1.208
1001351,0,0.388
1001352,0,1.372
1001353,0,5.876
1001354,0,3.417
1001355,0,1.495
1001356,0,1.496
1001357,0,6.51
1001358,0,0.671
1001359,0,2.795
1001360,0,5.015
1001361,0,4.755
1001362,0,0.342
1001363,0,5.93
1001364,0,4.699
1001365,0,2.044
1001366,0,0.737
1001367,0,5.844
1001368,0,2.634
1001369,0,0.375
1001370,0,3.534
1001371,0,3.59
1001372,0,5.414
1001373,0,5.232
1001374,0,5.904
1001375,0,3.372
1001376,0,4.75
1001377,0,1.465
1001378,0,4.005
1001379,0,0.412
1001380,0,0.793
1001381,0,6.52
1001382,0,5.275
1001383,0,1.692
1001384,0,3.542
1001385,0,0.215
1001386,0,5.935
1001387,0,0.629
1001388,0,2.924
1001389,0,4.47
1001390,0,2.177
1001391,0,1.22
1001392,0,1.485
1001393,0,2.246
1001394,0,4.247
1001395,0,3.533
1001396,0,2.612
